Date,Open,High,Low,Close,Adj Close,Volume
2019-04-29,88.180000,88.510002,88.129997,88.260002,87.317513,5008400
2019-04-30,88.290001,88.400002,87.260002,87.830002,86.892097,7614100
2019-05-01,87.730003,87.949997,85.870003,85.900002,84.982697,6524600
2019-05-02,86.209999,86.279999,84.989998,85.269997,84.359428,6813700
2019-05-03,85.900002,86.300003,85.699997,85.699997,84.784836,6798300
2019-05-06,83.769997,83.870003,82.860001,83.570000,82.677582,12836600
2019-05-07,83.019997,83.629997,81.830002,82.540001,81.658585,9811300
2019-05-08,82.430000,83.989998,82.139999,82.769997,81.886124,9501300
2019-05-09,82.209999,83.010002,81.540001,82.980003,82.093880,6336600
2019-05-10,82.779999,84.269997,82.190002,83.949997,83.053520,5450500
2019-05-13,81.650002,82.629997,81.320000,82.529999,81.648697,6445200
2019-05-14,82.779999,84.000000,82.059998,83.669998,82.776512,7529200
2019-05-15,83.169998,84.489998,82.940002,84.010002,83.112892,4862200
2019-05-16,84.510002,85.400002,84.199997,84.279999,83.379997,6745200
2019-05-17,83.510002,85.519997,83.500000,84.570000,83.666908,5068200
2019-05-20,83.800003,83.800003,82.739998,82.849998,81.965279,7181900
2019-05-21,83.360001,83.800003,82.510002,83.639999,82.746834,5762500
2019-05-22,82.989998,83.339996,82.760002,83.199997,82.311539,5237800
2019-05-23,82.500000,83.059998,81.989998,82.639999,81.757515,9704200
2019-05-24,82.199997,83.169998,82.089996,82.160004,81.282646,5999000
2019-05-28,82.849998,83.190002,81.129997,81.199997,80.332893,7927300
2019-05-29,80.709999,80.860001,77.699997,78.870003,78.027771,10116900
2019-05-30,78.919998,79.730003,78.610001,79.260002,78.413605,6177800
2019-05-31,78.000000,78.260002,77.070000,77.139999,76.528664,8891100
2019-06-03,77.239998,78.580002,77.080002,77.959999,77.342163,11665500
2019-06-04,79.300003,81.650002,78.779999,81.620003,80.973167,7526800
2019-06-05,82.290001,82.900002,81.930000,82.720001,82.064445,8173200
2019-06-06,82.720001,83.059998,82.080002,82.449997,81.796585,4953000
2019-06-07,83.089996,83.680000,82.809998,83.410004,82.748978,3891100
2019-06-10,83.750000,84.199997,82.449997,82.580002,81.925552,4419800
2019-06-11,83.650002,84.339996,83.129997,83.260002,82.600166,3939400
2019-06-12,83.480003,84.019997,82.519997,82.629997,81.975151,4025900
2019-06-13,83.150002,83.919998,83.050003,83.610001,82.947388,3383400
2019-06-14,83.510002,83.860001,83.040001,83.440002,82.778740,4355600
2019-06-17,83.339996,83.459999,82.010002,82.110001,81.459274,5101900
2019-06-18,82.699997,84.650002,82.500000,84.300003,83.631927,6456500
2019-06-19,83.730003,83.900002,83.139999,83.550003,82.887871,6217700
2019-06-20,84.900002,85.669998,84.419998,85.239998,84.564468,6163800
2019-06-21,85.160004,85.750000,84.599998,85.750000,85.070427,9289800
2019-06-24,86.000000,86.849998,84.370003,84.500000,83.830330,8043300
2019-06-25,84.599998,84.690002,82.160004,82.620003,81.965240,7339900
2019-06-26,83.150002,83.690002,82.440002,82.550003,81.895790,5838500
